Row_No.,Title of the Book
1,A Light in the Attic
2,Tipping the Velvet
3,Soumission
4,Sharp Objects
5,Sapiens: A Brief History of Humankind
6,The Requiem Red
7,The Dirty Little Secrets of Getting Your Dream Job
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
10,The Black Maria
11,"Starving Hearts (Triangular Trade Trilogy, #1)"
12,Shakespeare's Sonnets
13,Set Me Free
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
15,Rip it Up and Start Again
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
17,Olio
18,Mesaerion: The Best Science Fiction Stories 1800-1849
19,Libertarianism for Beginners
20,It's Only the Himalayas
